"","price","GuestIncluded","extrapeople"
"1",61.95,1,9.51
"2",73.72,1,7.5
"3",97.56,1,9.33
"4",177.11,2,11.38
"5",121.22,1,11.69
"6",129.61,2,27.8
"7",343.05,1,19.31
"8",155.99,1,6.9
"9",146.67,1,5.75
"10",218.34,1,5.28
"11",118.34,2,24.02
"12",151,1,8.63
"13",55.88,1,11.74
"14",132.45,1,5.83
"15",175.47,1,21.17
"16",76.55,1,6.34
"17",136.76,1,10.95
"18",128.69,1,9.83
"19",60.78,1,7.82
"20",192.04,1,6.67
"21",69.26,1,13.62
"22",165.61,1,24.28
"23",77.87,1,12.85
"24",91.36,1,14.04
"25",134.03,1,2.77
"26",204.85,2,23.65
"27",67.59,1,11.55
"28",114.92,2,21.15
"29",186.7,1,27.49
"30",66.16,1,11.72
"31",80.91,1,5.51
"32",176.52,1,10.07
"33",45.88,1,3.21
"34",89.49,1,8.09
"35",103.73,1,14.48
"36",63.4,1,13.16
"37",65.55,1,16.79
"38",494.85,1,10.87
"39",78.31,1,23.63
"40",98.21,1,23.85
"41",208.4,1,8.02
"42",111.01,1,3.43
"43",204.3,1,15.21
"44",83.32,1,7.83
"45",60.38,1,13.97
"46",257.12,1,5.68
"47",75.2,1,18.76
"48",145.12,1,16.54
"49",49.59,1,8.01
"50",68.66,2,13.82
"51",140.67,1,11.3
"52",54.18,1,11.73
"53",102.46,1,2.51
"54",78.91,2,11.27
"55",209.13,1,20.84
"56",287.41,5,28.28
"57",64.15,1,15.86
"58",129.33,1,26.85
"59",51.83,1,18.22
"60",192.36,1,20.93
"61",252.9,4,21.35
"62",136.58,3,20.33
"63",105.3,1,11.98
"64",206.85,1,16.17
"65",63.41,1,13.98
"66",98.18,1,16.06
"67",55.17,1,8.66
"68",73.87,1,14.95
"69",55.7,1,7.8
"70",584.21,6,26.96
"71",137.75,1,17.1
"72",69.75,1,8.42
"73",158.2,1,6.41
"74",146.93,1,26.1
"75",256.08,2,19.47
"76",91.47,1,7.92
"77",186.26,1,13.92
"78",74.5,1,18.67
"79",53.61,1,3.22
"80",60.68,1,11.19
"81",77.18,1,18.32
"82",81.97,1,16.81
"83",94.23,1,14.31
"84",282.35,1,19.6
"85",113.42,2,11.61
"86",231.3,1,17.94
"87",58.91,1,7.44
"88",536.21,1,4.63
"89",198.29,1,6.84
"90",186.85,2,21.54
"91",91.31,1,23.81
"92",75.47,1,16.51
"93",55.27,1,11.4
"94",142.69,1,13.3
"95",67.3,1,11.9
"96",176.47,4,16.86
"97",185.12,1,5.41
"98",465.12,1,6.61
"99",315.38,1,20.35
"100",106.61,1,0.87
"101",96.9,1,6.98
"102",154.8,1,10.94
"103",212.04,1,21.72
"104",91.93,1,2.96
"105",277.82,1,23.84
"106",55.57,1,16.79
"107",54.24,1,5.95
"108",235.27,1,6.92
"109",120.56,1,15.21
"110",290.37,1,13.02
"111",81.52,1,25.78
"112",52.4,1,6.65
"113",503.55,6,45.54
"114",127.42,1,4.9
"115",286.07,1,25.07
"116",166.71,1,32.65
"117",220.83,1,3.41
"118",209.88,1,20.71
"119",108.32,1,16.3
"120",392.4,1,4.95
"121",178.67,1,4.02
"122",209.98,1,13.14
"123",95.05,1,9.04
"124",110.61,1,11.34
"125",101.12,1,16.69
"126",139.21,1,11.35
"127",60.74,2,16.57
"128",182.54,2,31.71
"129",78.55,1,-0.11
"130",87.57,1,18.6
"131",85.96,1,3.17
"132",93.23,1,17.03
"133",198.48,1,10.26
"134",196.15,1,12.22
"135",134.89,1,11.64
"136",301.13,1,14.55
"137",117.18,0,11.43
"138",92.4,1,13.9
"139",148.24,1,7.41
"140",100.02,1,15.41
"141",88.83,1,14.36
"142",187.45,1,5.3
"143",53.42,1,11.13
"144",164.53,1,15.44
"145",69.33,1,11.62
"146",108.18,1,11.34
"147",85.79,1,9.76
"148",114.91,1,7.11
"149",53.31,1,5.81
"150",287.63,1,29.95
"151",63.15,1,2.31
"152",170.83,1,12.3
"153",59.99,1,9.75
"154",251.42,1,21.82
"155",193.26,1,12.87
"156",102.14,1,19.27
"157",148.34,1,8.96
"158",108.37,1,3.5
"159",135.91,1,6.27
"160",117.08,1,7.62
"161",173.4,0,20.85
"162",90.46,1,9.69
"163",149.95,1,18.81
"164",62.92,1,9.82
"165",65.34,1,1.07
"166",124.88,1,11.35
"167",139.21,2,13.68
"168",137.91,1,19.63
"169",255.35,1,14.22
"170",250.55,4,16.59
"171",80.74,1,12.16
"172",177.18,2,26.42
"173",140.56,2,17.11
"174",128.82,1,16.62
"175",225.4,2,8.56
"176",241.89,2,27.03
"177",105.33,2,17.55
"178",102.31,1,11.81
"179",53.58,1,13.11
"180",76.03,1,10.83
"181",90.9,1,8.34
"182",152.23,1,5.92
"183",170.9,1,25.24
"184",178.05,1,13.25
"185",64.7,1,10.09
"186",92.07,1,10.81
"187",95.8,1,7.73
"188",92.41,1,11.03
"189",88.54,1,14.27
"190",197.48,1,17.58
"191",183.15,1,12.41
"192",86.59,1,19.56
"193",94.95,1,7.51
"194",98.52,1,13.2
"195",127.5,2,18.56
"196",200.49,1,5.72
"197",64.14,1,7.22
"198",81,1,19
"199",164.59,1,18.91
"200",134.69,4,20.6
"201",50.75,1,7.72
"202",64.63,1,4.35
"203",97.78,1,11.9
"204",275.32,1,8.79
"205",110.82,1,13.52
"206",62.06,1,21.5
"207",125.7,1,12.07
"208",147.66,1,11.27
"209",66.65,1,15.45
"210",150.62,2,26.4
"211",170.72,2,18.41
"212",85.93,1,7.74
"213",103.69,1,19.45
"214",170.46,1,13.94
"215",79.16,1,20.21
"216",178.48,1,17.95
"217",159.56,1,5.51
"218",75.82,1,14.89
"219",94.68,1,18.29
"220",150.3,1,19.65
"221",201.66,1,10.3
"222",223.09,1,13.1
"223",229,2,11.95
"224",54.55,1,13.98
"225",204.68,1,21.46
"226",161.38,1,8.55
"227",144.05,2,20.8
"228",93.17,1,5.93
"229",161.15,1,19.98
"230",101.9,1,13.19
"231",218.64,1,41.48
"232",84.29,1,-0.14
"233",188.7,1,4.56
"234",72.78,1,10.78
"235",244.8,1,22.37
"236",195.42,1,13.03
"237",116.43,1,4.62
"238",63.59,1,14.16
"239",292.72,1,11.64
"240",108.87,1,11.82
"241",62.51,1,3.55
"242",61.24,1,13.55
"243",175.64,2,17.59
"244",85.32,1,7.58
"245",128.77,1,10.24
"246",145.55,1,6.17
"247",75.83,1,16.56
"248",701.24,1,35.61
"249",84.05,1,18.83
"250",151.94,2,21.1
"251",356.93,1,14.42
"252",161.71,1,3.58
"253",56.11,1,9.48
"254",106.89,1,15.64
"255",419.17,1,27.01
"256",308.04,1,13.02
"257",115.12,1,20.4
"258",99.75,1,1.11
"259",242.04,1,6.31
"260",106.19,1,8.02
"261",92.24,1,6.32
"262",65.95,1,15.19
"263",139.5,1,11.05
"264",114.82,1,28.49
"265",64.35,1,18.5
"266",40.39,1,17.68
"267",109.72,1,12.37
"268",187.62,1,21.5
"269",182.02,1,10.8
"270",241.27,1,14.5
"271",226.05,2,39.26
"272",176.78,1,8.09
"273",342.82,1,22.19
"274",92.69,1,3.27
"275",73.51,1,4.76
"276",184.9,1,22.06
"277",423.38,1,21.66
"278",138.67,1,3.79
"279",87.48,1,41.11
"280",197.2,1,14.62
"281",97.46,1,7.88
"282",69.31,1,11.07
"283",228.07,4,28
"284",190.1,1,8.9
"285",141.02,1,10.51
"286",348.95,1,14.19
"287",183.57,1,29.73
"288",58.75,1,6.15
"289",340.55,1,20.28
"290",95.63,1,13.47
"291",73.35,1,17.86
"292",139.04,1,5.14
"293",74.73,1,18.32
"294",165.47,1,17.29
"295",82.15,1,19.99
"296",111.4,1,42.63
"297",239.05,1,13.1
"298",228.29,1,1.75
"299",59.69,1,21.07
"300",73.67,1,17.91
"301",112.77,1,15.92
"302",115.49,1,26.66
"303",125.7,5,21.03
"304",251.93,2,18.4
"305",142.72,1,14.97
"306",373.36,1,25.33
"307",57.49,1,9.83
"308",75.8,1,13.97
"309",54.61,1,17.47
"310",50.69,1,189.16
"311",95.63,1,14.26
"312",108.95,1,16.72
"313",85.85,1,7.7
"314",179.39,1,21.37
"315",178.76,1,37.94
"316",63.48,1,7.69
"317",100.88,1,24.76
"318",387.59,1,1.43
"319",157.75,4,17.42
"320",120.22,1,13.08
"321",131.43,1,1.69
"322",118.33,3,22.83
"323",151.4,1,8.27
"324",190.39,1,15.99
"325",60.01,1,12.7
"326",163.45,1,16.42
"327",110.9,1,22.55
"328",92.45,1,19.38
"329",77.6,1,10.57
"330",169.92,1,19.22
"331",127.01,2,20.22
"332",185.44,1,16.12
"333",131.05,2,19.35
"334",62.9,1,5.85
"335",113.97,1,12.72
"336",94.62,1,4.73
"337",87.78,1,3.99
"338",75.51,1,16.94
"339",76.9,1,6.16
"340",151.44,1,20.4
"341",31.66,1,0.46
"342",131.25,2,20.91
"343",369.09,4,24.55
"344",63.81,1,1.5
"345",54.47,1,11.02
"346",251.73,1,26.46
"347",89.69,1,25.85
"348",184.42,1,8.4
"349",198.22,1,9.02
"350",60.75,1,3.81
"351",81.35,1,7.95
"352",97.55,1,0.9
"353",144.64,2,14.75
"354",164.59,1,6.77
"355",75.79,1,4.66
"356",141.2,2,8.82
"357",146.35,2,22.13
"358",242.76,6,21.73
"359",171.19,1,10.62
"360",260.15,4,22.09
"361",140.59,1,10.41
"362",254.38,1,26.42
"363",133.75,2,17.84
"364",58.61,1,6.6
"365",115.33,1,9.69
"366",70.45,1,21.8
"367",153.74,1,20.62
"368",96.76,1,5.77
"369",164.6,2,23.85
"370",51.17,1,11.31
"371",186.64,1,24.7
"372",58.76,1,14.81
"373",86.56,1,21.82
"374",172.36,1,16.84
"375",334.33,1,11.35
"376",242.97,1,18.08
"377",81.28,1,6.3
"378",189.45,2,11.15
"379",118.6,1,3.01
"380",129.53,1,40.9
"381",108.11,1,8.43
"382",100.18,1,15.14
"383",73.63,1,4.8
"384",100.91,1,13.75
"385",60.07,1,18.62
"386",82.1,1,6.96
"387",147.16,2,19.45
"388",69.94,1,8.52
"389",163.25,1,25.72
"390",55.58,1,11.05
"391",173.73,1,9.33
"392",104.38,1,22.97
"393",82.97,1,18.35
"394",579.49,1,6.53
"395",210.48,1,18.99
"396",92.68,1,10.92
"397",107.89,2,14.21
"398",196.46,1,9.33
"399",114.22,2,10.83
"400",100.39,2,16.86
"401",104.38,1,21.12
"402",116.3,2,12.12
"403",62.63,1,5.7
"404",91.22,1,15.52
"405",79.08,1,6.14
"406",106,1,5.15
"407",77.88,1,2.88
"408",100.25,1,14.78
"409",63.96,1,1.11
"410",74.23,1,17.16
"411",294.47,1,1.71
"412",199.99,1,14.54
"413",138.72,1,7.74
"414",59.06,1,2.82
"415",81.12,1,4.01
"416",87.54,2,15.65
"417",75.18,1,9.72
"418",59.56,1,19.63
"419",79.33,1,18.28
"420",203.6,1,18.59
"421",146.4,4,22.74
"422",101.34,1,10.61
"423",216.22,1,6.04
"424",229.46,1,0.36
"425",120.69,1,0.72
"426",306.32,1,17.28
"427",240.36,2,19.22
"428",158.26,1,1.42
"429",97.82,1,5.24
"430",224.6,1,7.77
"431",92.26,1,9.06
"432",344.45,4,25.14
"433",70.57,1,13.89
"434",129.45,1,15.21
"435",107.48,1,14.54
"436",76.42,1,7.65
"437",79.69,1,14.73
"438",107.65,1,9.18
"439",61.38,1,15.09
"440",185.18,2,19.87
"441",230.41,1,26.28
"442",223.25,1,14.62
"443",218.27,2,32.79
"444",165.4,1,14.22
"445",225.54,2,25.17
"446",151.3,1,5.97
"447",100.14,1,9.03
"448",150.6,1,19.44
"449",64.09,1,11.91
"450",187.75,1,10.58
"451",75.61,1,13.58
"452",171.74,1,16.18
"453",412.2,1,0.93
"454",266.81,1,14.87
"455",170.49,1,4.1
"456",144.1,1,15.12
"457",55.9,1,2.25
"458",131.02,1,39.62
"459",130.72,1,10.32
"460",128.38,1,6.29
"461",77.17,1,27
